_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,house_types,house_types:confidence,residential_yes,residential_yes:confidence,sidewalk_ok,sidewalk_ok:confidence,aadress,house_types_gold,lat,long,residential_yes_gold,sidewalk_ok_gold,url,low_confidence_residential
752055128,True,golden,25,,private_house,1.0,yes,1.0,yes,0.9225,"4210 Southwest 167th Avenue, Beaverton, OR 97007, USA ",private_house,45.489486,-122.848955,yes,yes,"http://maps.google.com/maps?cbll=45.489486,-122.848955&layer=c",False
752055129,True,golden,26,,private_house,1.0,yes,1.0,no,0.961,"4761 Southwest Martha Street, Portland, OR 97221, USA ",private_house,45.4852149,-122.726314,yes,no,"http://maps.google.com/maps?cbll=45.4852149,-122.726314&layer=c",False
752055130,True,golden,25,,private_house,0.9642,yes,0.9642,yes,0.9642,"1545 Southwest Nancy Drive, Gresham, OR 97080, USA ",private_house,45.484122,-122.472306,yes,yes,"http://maps.google.com/maps?cbll=45.484122,-122.472306&layer=c",False
752055131,True,golden,23,,private_house,1.0,yes,1.0,yes,0.9611,"4990 Southwest 188th Place, Aloha, OR 97007, USA ",private_house,45.483409,-122.870494,yes,,"http://maps.google.com/maps?cbll=45.483409,-122.870494&layer=c",False
752055132,True,golden,22,,private_house,0.9174,yes,0.9174,yes,0.8304,"2089 Southwest Nancy Drive, Gresham, OR 97080, USA ",private_house,45.4822119,-122.476723,yes,,"http://maps.google.com/maps?cbll=45.4822119,-122.476723&layer=c",False
752055133,True,golden,24,,private_house,1.0,yes,1.0,yes,0.9572,"189-211 Glynbrook Street North, Keizer, OR 97303, USA ",,44.97855,-123.0278,yes,,"http://maps.google.com/maps?cbll=44.97855,-123.0278&layer=c",False
752055134,True,golden,31,,,,no,1.0,,,"1665 Silverton Road Northeast, Salem, OR 97301, USA ",,44.9619031,-123.0117194,"no
not_avail",,"http://maps.google.com/maps?cbll=44.9619031,-123.0117194&layer=c",False
752055135,True,golden,27,,private_house,1.0,yes,1.0,yes,1.0,"2241 Chapman Hill Drive Northwest, Salem, OR 97304, USA ",private_house,44.956569,-123.0774408,yes,yes,"http://maps.google.com/maps?cbll=44.956569,-123.0774408&layer=c",False
752055136,True,golden,28,,private_house,0.928,yes,0.928,yes,0.8894,"3065 Briana Court Northwest, Salem, OR 97304, USA ",private_house,44.94748,-123.092732,yes,yes,"http://maps.google.com/maps?cbll=44.94748,-123.092732&layer=c",False
752055137,True,golden,29,,,,no,1.0,,,"2100 Turner Road Southeast, Salem, OR 97302, USA ",,44.915191,-122.997308,no,,"http://maps.google.com/maps?cbll=44.915191,-122.997308&layer=c",False
752055138,True,golden,33,,,,not_avail,1.0,,,"4780 Croisan Creek Road South, Salem, OR 97302, USA ",,44.88736,-123.08247,not_avail,,"http://maps.google.com/maps?cbll=44.88736,-123.08247&layer=c",False
752055139,True,golden,22,,,,not_avail,1.0,,,"405 Northeast Circle Boulevard, Corvallis, OR 97330, USA ",,44.5900044,-123.2517238,not_avail,,"http://maps.google.com/maps?cbll=44.5900044,-123.2517238&layer=c",False
752055140,True,golden,26,,private_house,1.0,yes,1.0,yes,0.9581,"3255 Southwest Willamette Avenue, Corvallis, OR 97333, USA ",private_house,44.5468192,-123.2855851,yes,,"http://maps.google.com/maps?cbll=44.5468192,-123.2855851&layer=c",False
752055141,True,golden,25,,,,not_avail,1.0,,,"2930 Chad Drive, Eugene, OR 97408, USA ",,44.087738,-123.060699,not_avail,,"http://maps.google.com/maps?cbll=44.087738,-123.060699&layer=c",False
752055142,True,golden,29,,,,not_avail,1.0,,,"2221 Northeast 3rd Street, Bend, OR 97701, USA ",,44.0720964,-121.3028506,not_avail,,"http://maps.google.com/maps?cbll=44.0720964,-121.3028506&layer=c",False
752055143,True,golden,24,,private_house,1.0,yes,1.0,no,1.0,"373 Woodlane Drive, Springfield, OR 97477, USA ",private_house,44.069007,-123.021269,yes,"no
Not sure, mixed","http://maps.google.com/maps?cbll=44.069007,-123.021269&layer=c",False
752055144,True,golden,34,,,,not_avail,1.0,,,"500 Valley River Center, Eugene, OR 97401, USA ",,44.0672632,-123.1077834,not_avail,,"http://maps.google.com/maps?cbll=44.0672632,-123.1077834&layer=c",False
752055145,True,golden,34,,private_house,0.9294,yes,0.9294,no,0.821,"2100 Westwood Lane, Eugene, OR 97401, USA ",private_house,44.065615,-123.0802803,yes,no,"http://maps.google.com/maps?cbll=44.065615,-123.0802803&layer=c",False
752055146,True,golden,27,,,,not_avail,0.9633,,,"106 Cleveland Street, Eugene, OR 97402, USA ",,44.059878,-123.130343,not_avail,,"http://maps.google.com/maps?cbll=44.059878,-123.130343&layer=c",False
752055147,True,golden,22,,private_house,1.0,yes,1.0,yes,1.0,"1108 7th Street, Springfield, OR 97477, USA ",private_house,44.055242,-123.01708,yes,yes,"http://maps.google.com/maps?cbll=44.055242,-123.01708&layer=c",False
752055148,True,golden,29,,private_house,1.0,yes,1.0,yes,0.5572,"2231 F Street, Springfield, OR 97477, USA ",private_house,44.050752,-122.993708,yes,,"http://maps.google.com/maps?cbll=44.050752,-122.993708&layer=c",False
752055149,True,golden,22,,private_house,0.9115,yes,0.9115,yes,0.9115,"632 West D Street, Springfield, OR 97477, USA ",,44.04953,-123.034662,yes,,"http://maps.google.com/maps?cbll=44.04953,-123.034662&layer=c",False
752055150,True,golden,27,,private_house,0.9639,yes,0.9639,no,0.5649,"909 Southeast 2nd Street, Bend, OR 97702, USA ",private_house,44.041397,-121.304198,yes,,"http://maps.google.com/maps?cbll=44.041397,-121.304198&layer=c",False
752055151,True,golden,28,,,,not_avail,1.0,,,"19630 Mountaineer Way, Bend, OR 97702, USA ",,44.039481,-121.341555,not_avail,,"http://maps.google.com/maps?cbll=44.039481,-121.341555&layer=c",False
752055152,True,golden,24,,private_house,1.0,yes,1.0,yes,0.9168,"3231 Michael Lane, Eugene, OR 97405, USA ",private_house,44.0215699,-123.134635,yes,"yes
Not sure, mixed","http://maps.google.com/maps?cbll=44.0215699,-123.134635&layer=c",False
752055153,True,golden,23,,,,not_avail,1.0,,,"2230 Biddle Road, Medford, OR 97504, USA ",,42.3489081,-122.8717499,not_avail,,"http://maps.google.com/maps?cbll=42.3489081,-122.8717499&layer=c",False
752055154,True,golden,24,,,,not_avail,1.0,,,"1299 Sunset Avenue, Medford, OR 97501, USA ",,42.326867,-122.89489,not_avail,,"http://maps.google.com/maps?cbll=42.326867,-122.89489&layer=c",False
752055155,True,golden,24,,private_house,1.0,yes,1.0,yes,1.0,"1724 Whitman Avenue, Medford, OR 97501, USA ",private_house,42.30388,-122.873748,yes,yes,"http://maps.google.com/maps?cbll=42.30388,-122.873748&layer=c",False
752055156,True,golden,28,,,0.0,no,0.8896,,0.0,"56 Rue Pierre Pascal Fauvelle, 66000 Perpignan, France ",,42.6852925,2.8673491,no,,"http://maps.google.com/maps?cbll=42.6852925 ,2.8673491 &layer=c",False
752055157,True,golden,17,,apartment_blocks,0.9421,yes,0.9421,no,0.525,"1 Cours d'Arnhem, 35200 Rennes, France ",apartment_blocks,48.0855609,-1.6587163,yes,,"http://maps.google.com/maps?cbll=48.0855609 ,-1.6587163 &layer=c",False
752055158,True,golden,29,,private_house,0.921,yes,1.0,yes,1.0,"8 Rue des Essillards, 51100 Reims, France ",,49.2338437,4.0497825,yes,,"http://maps.google.com/maps?cbll=49.2338437 ,4.0497825 &layer=c",False
752055159,True,golden,29,,private_house,0.5585,yes,1.0,yes,0.9205,"65 Chemin sous les Vignes, 57050 Metz, France ",,49.1345127,6.1483691,yes,,"http://maps.google.com/maps?cbll=49.1345127 ,6.1483691 &layer=c",False
752055160,True,golden,24,,private_house,0.7522,yes,0.9257,no,0.891,"1 AllÌ©e Vauban, 69300 Caluire-et-Cuire, France ",,45.7954596,4.8489787,yes,,"http://maps.google.com/maps?cbll=45.7954596 ,4.8489787 &layer=c",False
